ATB ID,solvent,value,error_estimate,formula,inchi
649,water,-32.03,1.18,C7H9NO,"InChI=1S/C7H9NO/c1-9-7-5-3-2-4-6(7)8/h2-5H,8H2,1H3"
745,water,-20.45,1.5,C6H14O,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3/t6-/m1/s1"
751,water,9.68,0.9,C5H12,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
751,hexane,-14.08,0.8,C5H12,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
752,water,6.23,0.77,C6H12,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
752,hexane,-15.72,1.48,C6H12,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
753,water,12.45,0.93,C5H12,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3"
753,hexane,-9.66,0.64,C5H12,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3"
755,water,9.49,0.93,C6H14,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3"
755,hexane,-17.1,1.5,C6H14,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3"
756,water,9.65,0.9,C6H14,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3"
757,water,12.26,0.49,C6H14,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3"
758,water,11.2,1.36,C7H16,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
758,hexane,-20.6,1.21,C7H16,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
759,water,10.02,1.22,C7H16,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
759,hexane,-18.46,0.66,C7H16,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
761,water,11.68,1.14,C8H18,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3"
761,hexane,-18.61,0.92,C8H18,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3"
763,water,7.09,0.45,C3H6,"InChI=1S/C3H6/c1-2-3-1/h1-3H2"
763,hexane,-7.06,0.98,C3H6,"InChI=1S/C3H6/c1-2-3-1/h1-3H2"
764,water,5.88,0.85,C5H10,"InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2"
764,hexane,-14.67,1.18,C5H10,"InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2"
766,water,7.31,0.85,C6H12,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3"
767,water,5.34,0.48,C7H14,"InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2"
768,water,7.36,1.18,C7H14,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3"
768,hexane,-20.49,0.9,C7H14,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3"
769,water,5.66,1.0,C8H16,"InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2"
771,water,6.82,0.9,C2H4,"InChI=1S/C2H4/c1-2/h1-2H2"
771,hexane,-2.22,0.77,C2H4,"InChI=1S/C2H4/c1-2/h1-2H2"
772,water,6.51,0.61,C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
772,hexane,-6.16,0.99,C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
774,water,6.21,1.31,C4H8,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3"
776,water,8.74,0.68,C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
777,water,8.88,0.72,C5H10,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3"
