ATB ID,solvent,value,error_estimate,formula,inchi
957,water,-12.3,1.04,C7H14O2,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3"
958,water,-12.91,0.96,C7H14O2,"InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3"
959,water,-12.02,1.02,C7H14O2,"InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3"
960,water,-11.36,1.04,C7H14O2,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
960,hexane,-29.78,0.89,C7H14O2,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
961,water,-12.96,1.24,C8H16O2,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3"
962,water,-11.66,1.17,C8H16O2,"InChI=1S/C8H16O2/c1-3-5-6-7-10-8(9)4-2/h3-7H2,1-2H3"
963,water,-11.98,1.14,C9H18O2,"InChI=1S/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3"
964,water,-11.2,1.29,C9H18O2,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3"
965,water,-20.88,0.96,C8H8O2,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
965,hexane,-31.03,0.77,C8H8O2,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
966,water,-16.82,1.16,CH5N,"InChI=1S/CH5N/c1-2/h2H2,1H3"
971,water,-15.31,0.56,C2H7N,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3"
971,hexane,-13.61,0.97,C2H7N,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3"
972,water,-10.37,0.61,C4H11N,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3"
972,hexane,-16.67,1.31,C4H11N,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3"
973,water,-10.09,0.98,C6H15N,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3"
973,hexane,-24.19,1.29,C6H15N,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3"
974,water,-6.81,1.19,C8H19N,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3"
976,water,-26.13,0.6,C2H5N,"InChI=1S/C2H5N/c1-2-3-1/h3H,1-2H2"
977,water,-17.45,0.7,C3H7N,"InChI=1S/C3H7N/c1-2-4-3-1/h4H,1-3H2"
978,water,-16.73,0.65,C6H13N,"InChI=1S/C6H13N/c1-2-4-6-7-5-3-1/h7H,1-6H2"
979,water,-11.84,0.97,C7H15N,"InChI=1S/C7H15N/c1-2-4-6-8-7-5-3-1/h8H,1-7H2"
982,water,-15.81,0.78,C3H9N,"InChI=1S/C3H9N/c1-4(2)3/h1-3H3"
982,hexane,-21.73,1.38,C3H9N,"InChI=1S/C3H9N/c1-4(2)3/h1-3H3"
983,water,-2.43,0.73,C6H15N,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3"
984,water,-9.98,0.86,C5H11N,"InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3"
985,water,-9.98,0.88,C6H13N,"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3"
987,water,-27.44,1.23,C4H5N,"InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
987,hexane,-16.0,1.29,C4H5N,"InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
988,water,-25.25,0.84,C5H7N,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3"
989,water,-17.91,0.57,C5H5N,"InChI=1S/C5H6N/c1-2-4-6-5-3-1/h1-2,4-5H,3H2"
989,hexane,-19.09,1.3,C5H5N,"InChI=1S/C5H6N/c1-2-4-6-5-3-1/h1-2,4-5H,3H2"
990,water,-18.16,0.69,C6H7N,"InChI=1S/C6H8N/c1-6-4-2-3-5-7-6/h2-3,5H,4H2,1H3"
990,hexane,-23.42,1.17,C6H7N,"InChI=1S/C6H8N/c1-6-4-2-3-5-7-6/h2-3,5H,4H2,1H3"
991,water,-18.11,0.92,C6H7N,"InChI=1S/C6H8N/c1-6-3-2-4-7-5-6/h2-6H,1H3"
991,hexane,-22.09,0.67,C6H7N,"InChI=1S/C6H8N/c1-6-3-2-4-7-5-6/h2-6H,1H3"
992,water,-20.07,0.88,C6H7N,"InChI=1S/C6H8N/c1-6-2-4-7-5-3-6/h2,4-5H,3H2,1H3"
992,hexane,-23.18,1.23,C6H7N,"InChI=1S/C6H8N/c1-6-2-4-7-5-3-6/h2,4-5H,3H2,1H3"
994,water,-17.81,0.89,C7H9N,"InChI=1S/C7H10N/c1-2-7-4-3-5-8-6-7/h3-7H,2H2,1H3"
995,water,-17.59,0.67,C7H9N,"InChI=1S/C7H10N/c1-2-7-3-5-8-6-4-7/h3,5-6H,2,4H2,1H3"
995,hexane,-24.8,0.75,C7H9N,"InChI=1S/C7H10N/c1-2-7-3-5-8-6-4-7/h3,5-6H,2,4H2,1H3"
996,water,-18.88,0.85,C7H9N,"InChI=1S/C7H10N/c1-6-4-3-5-8-7(6)2/h3-6H,1-2H3"
997,water,-17.13,1.02,C7H9N,"InChI=1S/C7H10N/c1-6-3-4-8-7(2)5-6/h3-4H,5H2,1-2H3"
997,hexane,-25.36,0.6,C7H9N,"InChI=1S/C7H10N/c1-6-3-4-8-7(2)5-6/h3-4H,5H2,1-2H3"
998,water,-21.62,0.91,C7H9N,"InChI=1S/C7H10N/c1-6-3-4-7(2)8-5-6/h3-6H,1-2H3"
998,hexane,-28.16,1.49,C7H9N,"InChI=1S/C7H10N/c1-6-3-4-7(2)8-5-6/h3-6H,1-2H3"
999,water,-17.23,0.85,C7H9N,"InChI=1S/C7H10N/c1-6-4-3-5-7(2)8-6/h3-4H,5H2,1-2H3"
999,hexane,-25.4,1.41,C7H9N,"InChI=1S/C7H10N/c1-6-4-3-5-7(2)8-6/h3-4H,5H2,1-2H3"
1000,water,-21.13,0.72,C7H9N,"InChI=1S/C7H10N/c1-6-3-4-8-5-7(6)2/h3-5,7H,1-2H3"
1000,hexane,-24.41,1.38,C7H9N,"InChI=1S/C7H10N/c1-6-3-4-8-5-7(6)2/h3-5,7H,1-2H3"
1001,water,-18.49,0.83,C7H9N,"InChI=1S/C7H10N/c1-6-3-7(2)5-8-4-6/h3-6H,1-2H3"
1001,hexane,-25.12,0.72,C7H9N,"InChI=1S/C7H10N/c1-6-3-7(2)5-8-4-6/h3-6H,1-2H3"
1002,water,-15.94,0.88,C9H13N,"InChI=1S/C9H14N/c1-9(2,3)8-4-6-10-7-5-8/h4,6-7H,5H2,1-3H3"
1003,water,5.37,0.74,C13H21N,"InChI=1S/C13H22N/c1-12(2,3)10-8-7-9-11(14-10)13(4,5)6/h7-8H,9H2,1-6H3"
1004,water,-27.3,1.17,C2H3N,"InChI=1S/C2H3N/c1-2-3/h1H3"
1004,hexane,-10.83,0.88,C2H3N,"InChI=1S/C2H3N/c1-2-3/h1H3"
1005,water,-22.47,1.11,C3H5N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3"
1005,hexane,-12.08,1.22,C3H5N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3"
1006,water,-23.17,1.2,C4H7N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3"
1006,hexane,-15.59,1.31,C4H7N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3"
1007,water,-35.42,0.9,C3H7NO,"InChI=1/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)/f/h4H"
1008,water,-37.9,1.2,C4H9NO,"InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3"
1008,hexane,-25.56,0.93,C4H9NO,"InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3"
1009,water,-32.42,1.41,C6H13NO,"InChI=1S/C6H13NO/c1-3-4-5-7-6(2)8/h3-5H2,1-2H3,(H,7,8)"
1010,water,-40.76,0.87,C6H11NO,"InChI=1S/C6H11NO/c1-6(8)7-4-2-3-5-7/h2-5H2,1H3"
1011,water,-58.27,1.67,C2H7N3,"InChI=1S/C2H7N3/c1-5-2(3)4/h1H3,(H4,3,4,5)"
1012,water,-19.98,1.47,C2H5NO2,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3"
1012,hexane,-18.31,1.26,C2H5NO2,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3"
1013,water,-18.01,1.29,C3H7NO2,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3"
1013,hexane,-20.47,1.19,C3H7NO2,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3"
1014,water,-18.04,0.66,C3H7NO2,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3"
1014,hexane,-20.64,1.05,C3H7NO2,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3"
1015,water,-24.57,0.86,C6H5NO2,"InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H"
1015,hexane,-28.87,1.45,C6H5NO2,"InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H"
1016,water,-22.29,1.14,C7H7NO2,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3"
1016,hexane,-31.2,0.85,C7H7NO2,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3"
1017,water,-23.52,1.03,C7H7NO2,"InChI=1S/C7H7NO2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3"
1020,water,-22.65,0.46,C3H8O2,"InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3"
1021,water,-20.03,0.43,C4H10O2,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3"
1021,hexane,-27.01,1.31,C4H10O2,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3"
1024,water,-22.33,0.68,C3H6O2,"InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2"
1025,water,-25.96,0.36,C4H8O2,"InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2"
1025,hexane,-27.21,1.27,C4H8O2,"InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2"
1026,water,-42.36,1.31,C2H8N2,"InChI=1S/C2H8N2/c3-1-2-4/h1-4H2"
1027,water,-41.69,0.73,C4H10N2,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2"
1028,water,-35.63,1.35,C5H12N2,"InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3"
1029,water,-31.32,1.13,C6H14N2,"InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3"
1030,water,-21.71,0.96,C5H6N2,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3"
1030,hexane,-25.31,1.5,C5H6N2,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3"
1032,water,-18.44,1.24,C8H12N2,"InChI=1S/C8H12N2/c1-7(2)5-8-6-9-3-4-10-8/h3-4,6-7H,5H2,1-2H3"
1033,water,-19.19,1.03,C7H10N2O,"InChI=1S/C7H10N2O/c1-3-6-7(10-2)9-5-4-8-6/h4-5H,3H2,1-2H3"
1036,water,-26.71,1.36,C4H10O2,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3"
1037,water,-26.2,1.11,C5H12O2,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3"
1038,water,-25.51,1.21,C6H14O2,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3"
1040,water,-29.87,1.07,C4H11NO,"InChI=1S/C4H11NO/c1-6-4-2-3-5/h2-5H2,1H3"
1042,water,-45.53,1.42,C6H7NO,"InChI=1S/C6H7NO/c1-7-5-3-2-4-6(7)8/h2-5H,1H3"
1043,water,-33.32,1.02,C4H9NO,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2"
1044,water,-29.36,0.98,C5H11NO,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3"
1045,water,-17.18,0.93,C6H4O2,"InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H"
1046,water,-28.82,0.91,C6H5NO3,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H"
1053,water,-10.82,1.28,C2H6S,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3"
1053,hexane,-12.1,1.2,C2H6S,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3"
1056,water,-7.83,0.95,C4H10S,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3"
1056,hexane,-17.21,0.7,C4H10S,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3"
1057,water,-12.34,1.29,C7H8S,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
1057,hexane,-27.27,1.49,C7H8S,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
1058,water,13.52,1.33,C9H20,"InChI=1S/C9H20/c1-8(2)6-7-9(3,4)5/h8H,6-7H2,1-5H3"
1061,water,-26.95,0.97,C6H6O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
1061,hexane,-19.65,1.01,C6H6O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
1078,water,1.76,0.7,C2H2,"InChI=1S/C2H2/c1-2/h1-2H"
1078,hexane,-0.21,0.66,C2H2,"InChI=1S/C2H2/c1-2/h1-2H"
1081,water,-32.31,0.82,C5H6N2,"InChI=1S/C5H7N2/c6-5-3-1-2-4-7-5/h1,3-4H,2,6H2"
1088,water,-16.61,1.39,C6H6S,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H"
1088,hexane,-23.73,1.36,C6H6S,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H"
1151,water,-9.75,0.74,C4H4S,"InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H"
1151,hexane,-19.07,1.4,C4H4S,"InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H"
1160,water,-6.68,0.77,CH2O,"InChI=1S/CH2O/c1-2/h1H2"
1160,hexane,-4.64,0.61,CH2O,"InChI=1S/CH2O/c1-2/h1H2"
1173,water,-6.36,1.39,C2H4Cl2,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3"
1174,water,1.08,1.2,C2H2Cl2,"InChI=1S/C2H2Cl2/c1-2(3)4/h1H2"
1175,water,1.99,0.51,C2H4F2,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3"
1176,water,-12.3,0.44,C2H4Br2,"InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2"
1177,water,-5.36,0.98,C6H4Cl2,"InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H"
1177,hexane,-27.57,1.35,C6H4Cl2,"InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H"
1178,water,-3.3,0.97,C6H4Cl2,"InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H"
1178,hexane,-27.12,1.32,C6H4Cl2,"InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H"
1179,water,-9.85,0.99,C2H4BrCl,"InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2"
1180,water,-5.25,0.93,C4H9Br,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3"
1180,hexane,-23.88,1.46,C4H9Br,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3"
1181,water,-18.8,1.05,C6H6ClN,"InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2"
1183,water,-2.67,1.09,C7H7Cl,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3"
1186,water,-15.03,1.44,C5H4ClN,"InChI=1S/C5H5ClN/c6-5-2-1-3-7-4-5/h1-5H"
1187,water,-33.7,0.79,C6H4N2,"InChI=1S/C6H5N2/c7-4-6-2-1-3-8-5-6/h1-3,5-6H"
1189,water,-26.54,1.13,C6H5ClO,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
1192,water,-23.45,1.27,C8H11N,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3"
1193,water,-44.39,1.3,C9H11NO,"InChI=1S/C9H11NO/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3"
1194,water,2.81,0.96,C7H5F3,"InChI=1S/C7H5F3/c8-7(9,10)6-4-2-1-3-5-6/h1-5H"
1196,water,-5.44,1.02,C2H5Cl,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3"
1196,hexane,-11.43,0.98,C2H5Cl,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3"
1199,water,-30.9,1.16,C7H12O4,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3"
1201,water,-40.8,0.85,C2H6O2S,"InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3"
1202,water,-34.14,0.74,C2H6OS,"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3"
1204,water,-0.2,0.35,CH3F,"InChI=1S/CH3F/c1-2/h1H3"
1206,water,-28.78,0.87,H4N2,"InChI=1S/H4N2/c1-2/h1-2H2"
1208,water,-9.19,0.73,C6H4Br2,"InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H"
1208,hexane,-40.94,0.93,C6H4Br2,"InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H"
1210,water,-21.99,0.6,C9H7N,"InChI=1S/C9H8N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-8H"
1210,hexane,-32.19,1.39,C9H7N,"InChI=1S/C9H8N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-8H"
1211,water,3.73,0.92,C2HBrF4,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H/t1-/m1/s1"
1211,hexane,-24.18,1.42,C2HBrF4,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H/t1-/m1/s1"
1212,water,-44.01,1.46,C9H14O6,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3"
1254,water,-26.44,0.64,C10H8O,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H"
1255,water,-12.95,0.82,C6H5ClO,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H"
1256,water,-15.04,0.87,C6H5FO,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H"
1257,water,-48.79,1.46,C6H6N2O2,"InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2"
1258,water,-21.66,1.35,C6H6ClN,"InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2"
1259,water,-50.13,1.24,C7H5NO,"InChI=1S/C7H5NO/c8-5-6-1-3-7(9)4-2-6/h1-4,9H"
1260,water,-30.95,0.91,C6H4N2,"InChI=1S/C6H5N2/c7-5-6-1-3-8-4-2-6/h1,3-4H,2H2"
1262,water,-23.15,1.04,C7H5N,"InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H"
1262,hexane,-22.69,1.35,C7H5N,"InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H"
1263,water,-27.77,1.28,C2H6O4S,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3"
1266,water,-3.32,0.91,C8H8,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
1269,water,-0.73,0.44,C6H5F,"InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H"
1269,hexane,-19.3,1.39,C6H5F,"InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H"
1307,water,-3.74,1.36,CHCl3,"InChI=1S/CHCl3/c2-1(3)4/h1H"
1307,hexane,-19.0,1.25,CHCl3,"InChI=1S/CHCl3/c2-1(3)4/h1H"
1395,water,-8.74,0.72,H3N,"InChI=1S/H3N/h1H3"
1395,hexane,2.39,0.41,H3N,"InChI=1S/H3N/h1H3"
1527,water,-50.24,1.1,C4H11N3,"InChI=1S/C4H12N3/c1-2-3-7-4(5)6/h7H,2-3,5-6H2,1H3"
1527,hexane,-24.43,0.67,C4H11N3,"InChI=1S/C4H12N3/c1-2-3-7-4(5)6/h7H,2-3,5-6H2,1H3"
1629,water,6.79,1.12,C8H4F6,"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H"
1630,water,-52.34,1.17,C10H13NO2,"InChI=1S/C10H13NO2/c1-11(2)10(12)8-4-6-9(13-3)7-5-8/h4-7H,1-3H3"
1631,water,-42.78,1.16,C10H13NO,"InChI=1S/C10H13NO/c1-8-4-6-9(7-5-8)10(12)11(2)3/h4-7H,1-3H3"
1633,water,-24.1,0.98,C6H10O4,"InChI=1S/C6H10O4/c1-4(7)9-6(3)10-5(2)8/h6H,1-3H3"
1634,water,-19.29,1.44,C4H8Cl2O,"InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2"
1637,water,-19.01,0.97,C7H6O2,"InChI=1S/C7H6O2/c8-6-9-7-4-2-1-3-5-7/h1-6H"
1741,water,-108.84,1.03,C15H16N4O5S,"InChI=1S/C15H17N4O5S/c1-9-8-10(2)17-14(16-9)18-15(21)19-25(22,23)12-7-5-4-6-11(12)13(20)24-3/h4-7H,8H2,1-3H3,(H2,18,19,21)"
1848,water,-52.71,1.2,C4H4N2O2,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
1850,water,-56.33,1.34,C4H3ClN2O2,"InChI=1S/C4H3ClN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
1851,water,-53.71,1.0,C4H3FN2O2,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
1851,hexane,-24.29,1.02,C4H3FN2O2,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
1853,water,-56.08,1.1,C5H3F3N2O2,"InChI=1S/C5H3F3N2O2/c6-5(7,8)2-1-9-4(12)10-3(2)11/h1H,(H2,9,10,11,12)"
1854,water,-45.69,1.28,C4H3ClN2O2,"InChI=1S/C4H3ClN2O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H2,6,7,8,9)"
1855,water,-58.53,0.81,C3H3N3O3,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)"
1856,water,-70.21,1.19,C8H10N4O2,"InChI=1S/C8H11N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4-5H,1-3H3"
1861,water,-50.41,1.12,C9H8O4,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)"
1862,water,-43.51,1.05,C13H8F2O3,"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)"
1863,water,-48.69,1.28,C14H14O3,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1"
1864,water,-33.73,0.93,C8H5NO2,"InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h1-4H,(H,9,10,11)"
1866,water,-42.47,0.82,C4H8O2S,"InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2"
1867,water,-2.93,1.37,C6Cl6,"InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9"
1868,water,-1.43,0.86,C2Cl6,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8"
1874,water,-29.43,1.15,C13H18O2,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m1/s1"
1877,water,-12.31,1.44,C6Cl5NO2,"InChI=1S/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9"
1910,water,-13.47,1.31,C4H9NO3,"InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3"
1911,water,-10.09,1.22,C4H9NO3,"InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3/t4-/m1/s1"
1913,water,-37.89,1.17,C2H5NO4,"InChI=1S/C2H5NO4/c4-1-2-7-3(5)6/h4H,1-2H2"
1915,water,-61.82,1.49,C9H17N5S,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6,10-11H,5H2,1-4H3"
1917,water,-35.43,1.33,C13H16F3N3O4,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3"
1918,water,-58.88,0.84,C9H13BrN2O2,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)/t5-/m1/s1"
1919,water,-36.41,1.49,C9H8Cl3NO2S,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6-/m1/s1"
1920,water,-41.67,1.08,C12H11NO2,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)"
1922,water,-23.03,0.72,C10H6Cl8,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3+,4-,5-,8+,9-/m0/s1"
1925,water,-7.51,1.01,CCl3NO2,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7"
1928,water,-43.7,1.21,C8H6Cl2O3,"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)"
1929,water,-27.01,1.27,C7H3Cl2N,"InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H"
1931,water,-24.63,1.16,C9H6Cl6O3S,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7+,8-,19+"
